id,naics,num_employees,lat,lon,size,GEOID
119215,32561101,27,41.801174,-87.776321,Medium,17031
129023,32561101,17,41.644642,-87.735367,Small,17031
268132,32561101,20,41.641113,-87.839577,Small,17031
292028,32561101,80,41.644699,-87.613197,Medium,17031
301370,32561101,20,42.074108,-88.005676,Small,17031
308170,32561101,7,42.000126,-88.097992,Small,17031
309435,32561101,5,41.950611,-87.863914,Small,17031
326347,32561101,20,41.900749,-87.883926,Small,17031
57013,32561203,2,41.808037,-87.700119,Small,17031
139583,32561203,10,42.003464,-87.866432,Small,17031
154377,32561203,8,42.016071,-87.974823,Small,17031
227061,32561203,8,41.906002,-87.864784,Small,17031
346389,32561206,8,42.124859,-87.914337,Small,17031
110068,32561207,9,41.748791,-87.720634,Small,17031
30367,32561209,9,41.738594,-87.81028,Small,17031
107726,32561209,8,41.898827,-87.623184,Small,17031
112791,32561209,10,41.885075,-87.651321,Small,17031
30631,32561210,2,41.86002,-87.866524,Small,17031
57211,32561210,2,41.901379,-87.632408,Small,17031
118126,32561210,20,41.898453,-87.74453,Small,17031
221926,32561210,8,41.511082,-87.720032,Small,17031
254550,32561210,5,41.904152,-87.909943,Small,17031
95418,32561212,5,41.773003,-87.79229,Small,17031
274084,32562003,22,41.497902,-87.679787,Small,17031
30770,32562005,10,41.855679,-87.860031,Small,17031
2870,32562010,10,41.679108,-87.766792,Small,17031
112417,32562010,10,41.887394,-87.678291,Small,17031
112452,32562010,10,41.912067,-87.677299,Small,17031
8669,32591001,31,42.039227,-87.974075,Medium,17031
30828,32591001,35,41.854172,-87.846214,Medium,17031
139678,32591001,15,42.042324,-87.903244,Small,17031
153863,32591001,4,42.004185,-87.93708,Small,17031
154303,32591001,7,42.003567,-87.962402,Small,17031
154685,32591001,15,42.006054,-87.974762,Small,17031
192683,32591001,15,41.568577,-87.643898,Small,17031
254637,32591001,365,41.903469,-87.910019,Large,17031
309188,32591001,60,42.031395,-88.034546,Medium,17031
30822,32591002,30,41.854294,-87.847054,Medium,17031
67610,32591002,3,41.871456,-87.626106,Small,17031
154373,32591002,8,42.023987,-87.977531,Small,17031
236172,32591002,8,42.027142,-87.946098,Small,17031
2958,32599805,55,41.65929,-87.721039,Medium,17031
5534,32599805,1,42.107204,-87.980988,Small,17031
17182,32599805,32,41.758518,-87.767601,Medium,17031
26986,32599805,47,41.638737,-87.671341,Medium,17031
30462,32599805,30,41.713516,-87.803284,Medium,17031
34872,32599805,19,41.629669,-87.544853,Small,17031
34873,32599805,19,41.6152,-87.551598,Small,17031
34875,32599805,19,41.636932,-87.567703,Small,17031
56111,32599805,2,41.800346,-87.640762,Small,17031
59627,32599805,2,41.872421,-87.681381,Small,17031
69522,32599805,3,41.892857,-87.639755,Small,17031
